,Target,Available Business Disclosures,Disclosure,Sources,x,Source
461,5.5,a.  Percentage of individuals within the organization’s governance bodies in each of the following,405-1,GRI 405: Diversity and,,
462,,diversity categories:,,Equal Opportunity 2016,,
463,,i.  Gender;,,,,
464,,"ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;",,,,
465,,iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups).,,,,
466,,b.   Percentage of employees per employee category in each of the following diversity categories:,,,,
467,,i.  Gender;,,,,
468,,"ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;",,,,
469,,iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups).,,,,
470,6.3,"A description of how the organization interacts with water, including how and where water is withdrawn,",303-1-a,GRI 303: Water and,,
471,,"consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked",,Effluents 2018,,
472,,"to the organization’s activities, products or services by a business relationship (e.g., impacts caused by",,,,
473,,runoff).,,,,
474,6.3,"A description of how water-related impacts are addressed, including how the organization works with",303-1-c,GRI 303: Water and,,
475,,"stakeholders to steward water as a shared resource, and how it engages with suppliers or customers",,Effluents 2018,,
476,,with significant water-related impacts.,,,,
477,6.3,"A description of any minimum standards set for the quality of effluent discharge, and how these minimum",303-2-a,GRI 303: Water and,,
478,,"standards were determined, including:",,Effluents 2018,,
479,,i.  how standards for facilities operating in locations with no local discharge requirements were,,,,
480,,determined;,,,,
481,,ii.  any internally developed water quality standards or guidelines;,,,,
482,,iii.  any sector-specific standards considered;,,,,
483,,iv.  whether the profile of the receiving waterbody was considered.”,,,,
484,6.3,Report a breakdown of total water discharge to all area in megaliters by level of treatment levels were,303-4,GRI 303: Water,,
485,,determined,,and Effluents 2018,,
486,,,,(recommendation 2.4.2),,
487,6.3,"a.  For the organization’s significant actual and potential waste-related impacts, a description of:",306-1,GRI 306: Waste 2020,,
488,,"i.  the inputs, activities, and outputs that lead or could lead to these impacts;",,,,
489,,ii.   whether these impacts relate to waste generated in the organization’s own activities or to waste,,,,
490,,generated upstream or downstream in its value chain.,,,,
491,6.3,"Actions, including circularity measures, taken to prevent waste generation in the organization’s own",306-2-a,GRI 306: Waste 2020,,
492,,"activities and upstream and downstream in its value chain, and to manage significant impacts from",,,,
493,,waste generated.,,,,
494,6.3,"If the waste generated by the organization in its own activities is managed by a third party, a description",306-2-b,GRI 306: Waste 2020,,
495,,of the processes used to determine whether the third party manages the waste in line with contractual or,,,,
496,,legislative obligations.,,,,
497,6.3,The processes used to collect and monitor waste-related data.,306-2-c,GRI 306: Waste 2020,,
498,6.4,"A description of how the organization interacts with water, including how and where water is withdrawn,",303-1-a,GRI 303: Water and,,
499,,"consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked",,Effluents 2018,,
500,,"to the organization’s activities, products or services by a business relationship (e.g., impacts caused by",,,,
501,,runoff).,,,,
502,6.4,"A description of how water-related impacts are addressed, including how the organization works with",303-1-c,GRI 303: Water and,,
503,,"stakeholders to steward water as a shared resource, and how it engages with suppliers or customers",,Effluents 2018,,
504,,with significant water-related impacts.,,,,
505,6.4,Report a breakdown of total water withdrawal from each of the sources listed in Disclosures 303-3-a and,303-3-c,GRI 303: Water and,,
506,,303-3-b in megaliters by the following categories:,,Effluents 2018,,
507,,"i.  Freshwater (≤1,000 mg/L Total Dissolved Solids);",,,,
508,,"ii.  Other water (>1,000 mg/L Total Dissolved Solids).",,,,
509,6.4,Report the total water consumption from all areas in megaliters.,303-5-a,GRI 303: Water and,,
510,,,,Effluents 2018,,
511,6.4,Report the total water consumption from all areas with water stress in megaliters.,303-5-b,GRI 303: Water and,,
512,,,,Effluents 2018,,
513,6.6,"For each operational site owned, leased, managed in, or adjacent to, protected areas and areas of high",304-1-a,GRI 304: Biodiversity 2016,,
514,,"biodiversity value outside protected areas, the following information:",,,,
515,,i.  Geographic location;,,,,
516,,"ii.  Subsurface and underground land that may be owned, leased, or managed by the organization;",,,,
517,,"iii.  Position in relation to the protected area (in the area, adjacent to, or containing portions of the",,,,
518,,protected area) or the high biodiversity value area outside protected areas;,,,,
519,,"iv.  Type of operation (office, manufacturing or production, or extractive);",,,,
520,,"v.  Size of operational site in km2 (or another unit, if appropriate);",,,,
521,,vi.   Biodiversity value characterized by the attribute of the protected area or area of high biodiversity,,,,
522,,"value outside the protected area (terrestrial, freshwater, or maritime ecosystem);",,,,
523,,vii.Biodiversity value characterized by listing of protected status (such as IUCN Protected Area,,,,
524,,"Management Categories, Ramsar Convention, national legislation).",,,,
525,6.6,a.  Nature of significant direct and indirect impacts on biodiversity with reference to one or more of the,304-2,GRI 304: Biodiversity 2016,,
526,,following:,,,,
527,,"i.   Construction or use of manufacturing plants, mines, and transport infrastructure;",,,,
528,,ii.   Pollution (introduction of substances that do not naturally occur in the habitat from point and,,,,
529,,non-point sources);,,,,
530,,"iii.   Introduction of invasive species, pests, and pathogens;",,,,
531,,iv.   Reduction of species;,,,,
532,,v.   Habitat conversion;,,,,
533,,vi.  Changes in ecological processes outside the natural range of variation (such as salinity or,,,,
534,,changes in groundwater level).,,,,
535,,b.  Significant direct and indirect positive and negative impacts with reference to the following:,,,,
536,,i.   Species affected;,,,,
537,,ii.   Extent of areas impacted;,,,,
538,,iii.   Duration of impacts;,,,,
539,,iv.  Reversibility or irreversibility of the impacts.,,,,
540,6.6,"Size and location of all habitat areas protected or restored, and whether the success of the restoration",304-3-a,GRI 304: Biodiversity 2016,,
541,,measure was or is approved by independent external professionals.,,,,
542,6.6,Whether partnerships exist with third parties to protect or restore habitat areas distinct from where the,304-3-b,GRI 304: Biodiversity 2016,,
543,,organization has overseen and implemented restoration or protection measures.,,,,
544,6.6,Total number of IUCN Red List species and national conservation list species with habitats in areas,304-4-a,GRI 304: Biodiversity 2016,,
545,,"affected by the operations of the organization, by level of extinction risk:",,,,
546,,i.  Critically endangered,,,,
547,,ii.  Endangered,,,,
548,,iii.  Vulnerable,,,,
549,,iv.  Near threatened,,,,
550,,v.  Least concern,,,,
551,6.6,Total volume of planned and unplanned water discharges by:,306-1-a,GRI 306: Waste 2016,,
552,,i. Destination;,,,,
553,,"ii. Quality of the water, including treatment method;",,,,
554,,iii. Whether the water was reused by another organization.,,,,
555,6.6,Total number and total volume of recorded significant spills.,306-3-a,GRI 306: Waste 2016,,
556,6.6,The following additional information for each spill that was reported in the organization’s financial,306-3-b,GRI 306: Waste 2016,,
557,,statements:,,,,
558,,i.  Location of spill;,,,,
559,,ii.  Volume of spill;,,,,
560,,"iii.  Material of spill, categorized by: oil spills (soil or water surfaces), fuel spills (soil or water",,,,
561,,"surfaces), spills of wastes (soil or water surfaces), spills of chemicals (mostly soil or water",,,,
562,,"surfaces), and other (to be specified by the organization).",,,,
563,6.6,Impacts of significant spills.,306-3-c,GRI 306: Waste 2016,,
564,6.6,"Water bodies and related habitats that are significantly affected by water discharges and/or runoff,",306-5-a,GRI 306: Waste 2016,,
565,,including information on:,,,,
566,,i.  The size of the water body and related habitat;,,,,
567,,ii.   Whether the water body and related habitat is designated as a nationally or internationally,,,,
568,,protected area;,,,,
569,,"iii.  The biodiversity value, such as total number of protected species.",,,,
570,6.A,"A description of how the organization interacts with water, including how and where water is withdrawn,",303-1-a,GRI 303: Water and,,
571,,"consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked",,Effluents 2018,,
572,,"to the organization’s activities, products or services by a business relationship (e.g., impacts caused by",,,,
573,,runoff).,,,,
574,6.A,"A description of how water-related impacts are addressed, including how the organization works with",303-1-c,GRI 303: Water and,,
575,,"stakeholders to steward water as a shared resource, and how it engages with suppliers or customers",,Effluents 2018,,
576,,with significant water-related impacts.,,,,
577,6.B,"A description of how the organization interacts with water, including how and where water is withdrawn,",303-1-a,GRI 303: Water and,,
578,,"consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked",,Effluents 2018,,
579,,"to the organization’s activities, products or services by a business relationship (e.g., impacts caused by",,,,
580,,runoff).,,,,
581,6.B,"A description of how water-related impacts are addressed, including how the organization works with",303-1-c,GRI 303: Water and,,
