,Target,Available Business Disclosures,Source
602,7a,"Research and development activity and expenditure aimed at providing reliable electricity and promoting, 
sustainable development","G4 Sector Disclosure 2009, Former EU8"
603,7a,Programs and progress relating to materials stewardship,"G4 Sector Disclosure 2010, Former"
604,7a,Programs and progress relating to materials stewardship,"G4 Sector Disclosure 2010, MM11"
605,7a,Total amount invested in renewable energy,"G4 Sector Disclosure 2012, OG2"
606,7b,"Research and development activity and expenditure aimed at providing reliable electricity and promoting, 
sustainable development","G4 Sector Disclosure 2009, Former EU8"
607,8.1,Access points in low-populated or economically disadvantaged areas by type,"G4 Sector Disclosure 2008, FS13"
608,8.1,Initiatives to improve access to financial services for disadvantaged people,"G4 Sector Disclosure 2008, FS14"
609,8.1,"Percentage of the portfolio for business lines by specific region, size (e.g. micro/SME/large) and by, 
sector","G4 Sector Disclosure 2008, FS6"
610,8.1,"Monetary value of products and services designed to deliver a specific social benefit for each business, 
line broken down by purpose","G4 Sector Disclosure 2008, FS7"
611,8.1,Initiatives to enhance financial literacy by type of beneficiary,"G4 Sector Disclosure 2008, Former FS16"
612,8.1,"Total number of passengers annually, broken down by passengers on international and domestic flights,, 
and broken down by origin-and-destination and transfer passengers, including transit passengers","G4 Sector Disclosure 2011, AO1"
613,8.1,"Total annual number of aircraft movements by day and night, broken down by commercial passenger,, 
commercial cargo, general aviation, and state aviation flights","G4 Sector Disclosure 2011, AO2"
614,8.1,Total amount of cargo tonnage,"G4 Sector Disclosure 2011, AO3"
615,8.1,"a.  Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic","GRI 201: Economic, 201-1"
616,8.1,"components for the organization’s global operations as listed below. If data are presented on a cash, 
basis, report the justification for this decision in addition to reporting the following basic components:, 
i.  Direct economic value generated: revenues;, 
ii.   Economic value distributed: operating costs, employee wages and benefits, payments to, 
providers of capital, payments to government by country, and community investments;, 
iii.  Economic value retained: ‘direct economic value generated’ less ‘economic value distributed’., 
b.   Where significant, report EVG&D separately at country, regional, or market levels, and the criteria, 
used for defining significance.","Performance 2016, 201-1"
617,8.2,"and negative impacts., 
b.  Significance of the indirect economic impacts in the context of external benchmarks and stakeholder, 
priorities, such as national and international standards, protocols, and policy agendas.","Economic Impacts 2016, 203-2"
618,8.2,"period, by:, 
i.  Gender;, 
ii.   Employee category.","Education 2016, 404-1-a"
619,8.2,"b.   Transition assistance programs provided to facilitate continued employability and the management of, 
career endings resulting from retirement or termination of employment.","Education 2016, 404-2"
620,8.2,"Number, type and impact of physical and technological legacies","G4 Sector Disclosure 2012, EO13"
621,8.2,"a.  Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic","GRI 201: Economic, 201-1"
622,8.2,"a.  Examples of significant identified indirect economic impacts of the organization, including positive","GRI 203: Indirect, 203-2"
623,8.2,Average hours of training that the organization’s employees have undertaken during the reporting,"GRI 404: Training and, 404-1-a"
624,8.2,a.   Type and scope of programs implemented and assistance provided to upgrade employee skills.,"GRI 404: Training and, 404-2"
625,8.2,"components for the organization’s global operations as listed below. If data are presented on a cash, 
basis, report the justification for this decision in addition to reporting the following basic components:, 
i.  Direct economic value generated: revenues;, 
ii.  Economic value distributed: operating costs, employee wages and benefits, payments to, 
providers of capital, payments to government by country, and community investments;, 
iii.   Economic value retained: ‘direct economic value generated’ less ‘economic value distributed’., 
b.  Where significant, report EVG&D separately at country, regional, or market levels, and the criteria, 
used for defining significance.","Performance 2016, 201-1"
626,8.3,"and negative impacts., 
b.   Significance of the indirect economic impacts in the context of external benchmarks and stakeholder, 
priorities, such as national and international standards, protocols, and policy agendas.","Economic Impacts 2016, 203-2"
627,8.3,"Percentage of the portfolio for business lines by specific region, size (e.g. micro/SME/large) and by, 
sector","G4 Sector Disclosure 2008, FS6"
628,8.3,"Monetary value of products and services designed to deliver a specific social benefit for each business, 
line broken down by purpose","G4 Sector Disclosure 2008, FS7"
629,8.3,"a.   Examples of significant identified indirect economic impacts of the organization, including positive","GRI 203: Indirect, 203-2"
630,8.3,Percentage of the procurement budget used for significant locations of operation that is spent on,"GRI 204: Procurement, 204-1-a"
631,8.3,suppliers local to that operation (such as percentage of products and services purchased locally).,"Practices 2016, 204-1-a"
632,8.4,Average generation efficiency of thermal plants by energy source and by regulatory regime,"G4 Sector Disclosure 2009, EU11"
633,8.4,Transmission and distribution losses as a percentage of total energy,"G4 Sector Disclosure 2009, EU12"
634,8.4,Programs and progress relating to materials stewardship,"G4 Sector Disclosure 2009, Former EU11"
635,8.4,"Demand-side management programs including residential, commercial, institutional and industrial, 
programs","G4 Sector Disclosure 2009, Former EU7"
636,8.4,Building energy intensity,"G4 Sector Disclosure 2011, CRE1"
637,8.4,Building water intensity,"G4 Sector Disclosure 2011, CRE2"
638,8.4,"Type and number of sustainability certification, rating and labeling schemes for new construction,, 
management, occupation and redevelopment","G4 Sector Disclosure 2011, CRE8"
639,8.4,Volume and disposal of formation or produced water,"G4 Sector Disclosure 2012, OG5"
640,8.4,Volume of flared and vented hydrocarbon,"G4 Sector Disclosure 2012, OG6"
641,8.4,"Total weight or volume of materials that are used to produce and package the organization’s primary, 
products and services during the reporting period, by:, 
i.  Non-renewable materials used;, 
ii.  Renewable materials used.","GRI 301: Materials 2016, 301-1-a"
642,8.4,"Percentage of recycled input materials used to manufacture the organization’s primary products and, 
services.","GRI 301: Materials 2016, 301-2-a"
643,8.4,"a.  Percentage of reclaimed products and their packaging materials for each product category., 
b.  How the data for this disclosure have been collected.","GRI 301: Materials 2016, 301-3"
644,8.4,"a.   Total fuel consumption within the organization from non-renewable sources, in joules or multiples,, 
and including fuel types used., 
b.  Total fuel consumption within the organization from renewable sources, in joules or multiples, and, 
including fuel types used., 
c.  In joules, watt-hours or multiples, the total:, 
i.   electricity consumption, 
ii.   heating consumption, 
iii.   cooling consumption, 
iv.  steam consumption, 
d.   In joules, watt-hours or multiples, the total:, 
i.  electricity sold, 
ii.  heating sold, 
iii.  cooling sold, 
iv.   steam sold, 
e.  Total energy consumption within the organization, in joules or multiples., 
f.  Standards, methodologies, assumptions, and/or calculation tools used., 
g.  Source of the conversion factors used.","GRI 302: Energy 2016, 302-1"
645,8.4,"Energy consumption outside of the organization, in joules or multiples.","GRI 302: Energy 2016, 302-2-a"
646,8.4,Energy intensity ratio for the organization.,"GRI 302: Energy 2016, 302-3-a"
647,8.4,"Amount of reductions in energy consumption achieved as a direct result of conservation and efficiency, 
initiatives, in joules or multiples.","GRI 302: Energy 2016, 302-4-a"
648,8.4,"Reductions in energy requirements of sold products and services achieved during the reporting period,, 
in joules or multiples.","GRI 302: Energy 2016, 302-5-a"
649,8.4,"Actions, including circularity measures, taken to prevent waste generation in the organization’s, 
own activities and upstream and downstream in its value chain, and to manage significant, 
impacts from waste generated.","GRI 306: Waste 2020, 306-2-a"
650,8.5,"wage rules, report the relevant ratio of the entry level wage by gender at significant locations of, 
operation to the minimum wage., 
b.   When a significant proportion of other workers (excluding employees) performing the organization’s, 
activities are compensated based on wages subject to minimum wage rules, describe the actions, 
taken to determine whether these workers are paid above the minimum wage., 
c.  Whether a local minimum wage is absent or variable at significant locations of operation, by gender., 
In circumstances in which different minimums can be used as a reference, report which minimum, 
wage is being used., 
d.  The definition used for ‘significant locations of operation’.","2016, 202-1"
651,8.5,community.,"2016, 202-2-a"
652,8.5,"region., 
b.  Total number and rate of employee turnover during the reporting period, by age group, gender and, 
region.","2016, 401-1"
653,8.5,"or part-time employees, by significant locations of operation. These include, as a minimum:, 
i.  Life insurance;, 
ii.  Health care;, 
iii.  Disability and invalidity coverage;, 
iv.  Parental leave;, 
v.  Retirement provision;, 
vi.  Stock ownership;, 
vii.  Others.","2016, 401-2-a"
654,8.5,"b.  Total number of employees that took parental leave, by gender., 
c.  Total number of employees that returned to work in the reporting period after parental leave ended,, 
by gender., 
d.   Total number of employees that returned to work after parental leave ended that were still employed, 
12 months after their return to work, by gender., 
e.   Return to work and retention rates of employees that took parental leave, by gender.","2016, 401-3"
655,8.5,"Total number of employees by employment contract (permanent and temporary), by gender.","Disclosures 2016, 102-8-a"
656,8.5,"Total number of employees by employment contract (permanent and temporary), by region.","Disclosures 2016, 102-8-b"
657,8.5,"Total number of employees by employment type (full-time and part-time), by gender.","Disclosures 2016, 102-8-c"
658,8.5,"employees. If applicable, a description of the nature and scale of work performed by workers who are, 
not employees.","Disclosures 2016, 102-8-d"
659,8.5,"and negative impacts., 
b.   Significance of the indirect economic impacts in the context of external benchmarks and stakeholder, 
priorities, such as national and international standards, protocols, and policy agendas.","Economic Impacts 2016, 203-2"
660,8.5,"period, by:, 
i.  Gender;, 
ii.  Employee category.","Education 2016, 404-1-a"
661,8.5,"b.   Transition assistance programs provided to facilitate continued employability and the management of, 
career endings resulting from retirement or termination of employment.","Education 2016, 404-2"
662,8.5,performance and career development review during the reporting period.,"Education 2016, 404-3-a"
663,8.5,"diversity categories:, 
i.  Gender;, 
ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;, 
iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups)., 
b.   Percentage of employees per employee category in each of the following diversity categories:, 
i.  Gender;, 
ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;, 
iii.   Other indicators of diversity where relevant (such as minority or vulnerable groups).","Equal Opportunity 2016, 405-1"
664,8.5,locations of operation.,"Equal Opportunity 2016, 405-2-b"
665,8.5,"Percentage of employees eligible to retire in the next 5 and 10 years broken down by job category and, 
by region","G4 Sector Disclosure 2009, EU15"
666,8.5,Programs and processes to ensure the availability of a skilled workforce,"G4 Sector Disclosure 2009, Former EU14"
667,8.5,"Total number of employees by employment contract (permanent and temporary), by gender.","GRI 102: General, 102-8-a"
668,8.5,"Total number of employees by employment contract (permanent and temporary), by region.","GRI 102: General, 102-8-b"
669,8.5,"Total number of employees by employment type (full-time and part-time), by gender.","GRI 102: General, 102-8-c"
670,8.5,Whether a significant portion of the organization’s activities are performed by workers who are not,"GRI 102: General, 102-8-d"
671,8.5,a.   When a significant proportion of employees are compensated based on wages subject to minimum,"GRI 202: Market Presence, 202-1"
672,8.5,Percentage of senior management at significant locations of operation that are hired from the local,"GRI 202: Market Presence, 202-2-a"
673,8.5,"a.   Examples of significant identified indirect economic impacts of the organization, including positive","GRI 203: Indirect, 203-2"
674,8.5,"a.   Total number and rate of new employee hires during the reporting period, by age group, gender and","GRI 401: Employment, 401-1"
675,8.5,Benefits which are standard for full-time employees of the organization but are not provided to temporary,"GRI 401: Employment, 401-2-a"
676,8.5,"a.   Total number of employees that were entitled to parental leave, by gender.","GRI 401: Employment, 401-3"
677,8.5,Average hours of training that the organization’s employees have undertaken during the reporting,"GRI 404: Training and, 404-1-a"
678,8.5,a.   Type and scope of programs implemented and assistance provided to upgrade employee skills.,"GRI 404: Training and, 404-2"
679,8.5,Percentage of total employees by gender and by employee category who received a regular,"GRI 404: Training and, 404-3-a"
680,8.5,a.   Percentage of individuals within the organization’s governance bodies in each of the following,"GRI 405: Diversity and, 405-1"
681,8.5,"Ratio of the basic salary and remuneration of women to men for each employee category, by significant","GRI 405: Diversity and, 405-2-b"
682,8.6,"region., 
b.  Total number and rate of employee turnover during the reporting period, by age group, gender and, 
region.","2016, 401-1"
683,8.6,"a.   Total number and rate of new employee hires during the reporting period, by age group, gender and","GRI 401: Employment, 401-1"
684,8.7,"either in terms of:, 
i.  Type of operation (such as manufacturing plant) and supplier;, 
ii.  Countries or geographic areas with operations and suppliers considered at risk.","Compulsory Labor 2016, 409-1"
685,8.7,forms of forced or compulsory labor.,"Compulsory Labor 2016, 409-1-b"
686,8.7,"a.   Operations and suppliers considered to have significant risk for incidents of:, 
i.  child labor;, 
ii.   young workers exposed to hazardous work., 
b.   Operations and suppliers considered to have significant risk for incidents of child labor either in, 
terms of:, 
i.   type of operation (such as manufacturing plant) and supplier;, 
ii.  countries or geographic areas with operations and suppliers considered at risk., 
c.   Measures taken by the organization in the reporting period intended to contribute to the effective, 
abolition of child labor.","GRI 408: Child Labor 2016, 408-1"
687,8.7,Operations and suppliers considered to have significant risk for incidents of forced or compulsory labor,"GRI 409: Forced or, 409-1"
688,8.7,Measures taken by the organization in the reporting period intended to contribute to the elimination of all,"GRI 409: Forced or, 409-1-b"
689,8.8,"b.  For organizations with collective bargaining agreements, report whether the notice period and, 
provisions for consultation and negotiation are specified in collective agreements.","2016, 402-1"
690,8.8,Percentage of new suppliers that were screened using social criteria.,"Assessment 2016, 414-1-a"
691,8.8,"b.  Number of suppliers identified as having significant actual and potential negative social impacts., 
c.  Significant actual and potential negative social impacts identified in the supply chain., 
d.   Percentage of suppliers identified as having significant actual and potential negative social impacts, 
with which improvements were agreed upon as a result of assessment., 
e.   Percentage of suppliers identified as having significant actual and potential negative social impacts, 
with which relationships were terminated as a result of assessment, and why.","Assessment 2016, 414-2"
692,8.8,bargaining may be violated or at significant risk either in terms of: i. type of operation (such as,"Association and Collective, 407-1"
693,8.8,"manufacturing plant) and supplier; ii. countries or geographic areas with operations and suppliers, 
considered at risk., 
b.  Measures taken by the organization in the reporting period intended to support rights to exercise, 
freedom of association and collective bargaining.","Bargaining 2016, 407-1"
694,8.8,Percentage of total employees covered by collective bargaining agreements.,"Disclosures 2016, 102-41-a"
695,8.8,"Days worked by contractor and subcontractor employees involved in construction, operation &, 
maintenance activities","G4 Sector Disclosure 2009, EU17"
696,8.8,"Percentage of contractor and subcontractor employees that have undergone relevant health and safety, 
training","G4 Sector Disclosure 2009, EU18"
697,8.8,"Policies and requirements regarding health and safety of employees and employees of contractors and, 
subcontractors","G4 Sector Disclosure 2009, Former EU16"
698,8.8,"Percentage of working time lost due to industrial disputes, strikes and/or lock-outs, by country","G4 Sector Disclosure 2010, FP3"
699,8.8,"Number of strikes and lock-outs exceeding one week's duration, by country","G4 Sector Disclosure 2010, MM4"
700,8.8,"Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM), 
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and, 
mitigate these risks","G4 Sector Disclosure 2010, MM8"
701,8.8,"Percentage of the organization operating in verified compliance with an internationally recognized health, 
and safety management system","G4 Sector Disclosure 2011, CRE6"
702,8.8,"Number of process safety events, by business activity","G4 Sector Disclosure 2012, OG13"
703,8.8,Percentage of total employees covered by collective bargaining agreements.,"GRI 102: General, 102-41-a"
704,8.8,a.   Minimum number of weeks’ notice typically provided to employees and their representatives prior to,"GRI 402: Labor/, 402-1"
705,8.8,"A statement of whether an occupational health and safety management system has been implemented,","GRI 403: Occupational, 403-1-a"
706,8.8,"A description of the scope of workers, activities, and workplaces covered by the occupational health and","GRI 403: Occupational, 403-1-b"
707,8.8,a.   For all employees:,"GRI 403: Occupational, 403-10"
708,8.8,A description of the processes used to identify work-related hazards and assess risks on a routine and,"GRI 403: Occupational, 403-2-a"
709,8.8,"A description of the processes for workers to report work-related hazards and hazardous situations, and","GRI 403: Occupational, 403-2-b"
710,8.8,A description of the policies and processes for workers to remove themselves from work situations that,"GRI 403: Occupational, 403-2-c"
711,8.8,"A description of the processes used to investigate work-related incidents, including the processes to","GRI 403: Occupational, 403-2-d"
712,8.8,A description of the occupational health services’ functions that contribute to the identification and,"GRI 403: Occupational, 403-3-a"
713,8.8,"A description of the processes for worker participation and consultation in the development,","GRI 403: Occupational, 403-4-a"
714,8.8,"Where formal joint management–worker health and safety committees exist, a description of their","GRI 403: Occupational, 403-4-b"
715,8.8,"A description of any occupational health and safety training provided to workers, including generic","GRI 403: Occupational, 403-5-a"
716,8.8,A description of the organization’s approach to preventing or mitigating significant negative occupational,"GRI 403: Occupational, 403-7-a"
717,8.8,a.  If the organization has implemented an occupational health and safety management system based,"GRI 403: Occupational, 403-8"
718,8.8,a.  For all employees:,"GRI 403: Occupational, 403-9"
719,8.8,a.   Total number of incidents of discrimination during the reporting period.,"GRI 406: Non-, 406-1"
720,8.8,a.   Operations and suppliers in which workers’ rights to exercise freedom of association or collective,"GRI 407: Freedom of, 407-1"
721,8.8,Percentage of new suppliers that were screened using social criteria.,"GRI 414: Supplier Social, 414-1-a"
722,8.8,a.   Number of suppliers assessed for social impacts.,"GRI 414: Supplier Social, 414-2"
723,8.8,"including whether:, 
i.  the system has been implemented because of legal requirements and, if so, a list of the, 
requirements;, 
ii.   the system has been implemented based on recognized risk management and/or management, 
system standards/guidelines and, if so, a list of the standards/guidelines.","Health and Safety 2018, 403-1-a"
724,8.8,"safety management system, and an explanation of whether and, if so, why any workers, activities, or, 
workplaces are not covered.","Health and Safety 2018, 403-1-b"
725,8.8,"i.  The number of fatalities as a result of work-related ill health;, 
ii.   The number of cases of recordable work-related ill health;, 
iii.   The main types of work-related ill health., 
b.   For all workers who are not employees but whose work and/or workplace is controlled by the, 
organization:, 
i.   The number of fatalities as a result of work-related ill health;, 
ii.  The number of cases of recordable work-related ill health;, 
iii.  The main types of work-related ill health., 
c.  The work-related hazards that pose a risk of ill health, including:, 
i.  how these hazards have been determined;, 
ii.  which of these hazards have caused or contributed to cases of ill health during the reporting, 
period;, 
iii.   actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of, 
controls., 
d.  Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
e.  Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.","Health and Safety 2018, 403-10"
726,8.8,"non-routine basis, and to apply the hierarchy of controls in order to eliminate hazards and minimize, 
risks, including:, 
i.  how the organization ensures the quality of these processes, including the competency of, 
persons who carry them out;, 
ii.   how the results of these processes are used to evaluate and continually improve the, 
occupational health and safety management system.","Health and Safety 2018, 403-2-a"
727,8.8,an explanation of how workers are protected against reprisals.,"Health and Safety 2018, 403-2-b"
728,8.8,"they believe could cause injury or ill health, and an explanation of how workers are protected against, 
reprisals.","Health and Safety 2018, 403-2-c"
729,8.8,"identify hazards and assess risks relating to the incidents, to determine corrective actions using the, 
hierarchy of controls, and to determine improvements needed in the occupational health and safety, 
management system.","Health and Safety 2018, 403-2-d"
730,8.8,"elimination of hazards and minimization of risks, and an explanation of how the organization ensures the, 
quality of these services and facilitates workers’ access to them.","Health and Safety 2018, 403-3-a"
731,8.8,"implementation, and evaluation of the occupational health and safety management system, and for, 
providing access to and communicating relevant information on occupational health and safety to, 
workers.","Health and Safety 2018, 403-4-a"
732,8.8,"responsibilities, meeting frequency, decision-making authority, and whether and, if so, why any workers, 
are not represented by these committees.","Health and Safety 2018, 403-4-b"
733,8.8,"training as well as training on specific work-related hazards, hazardous activities, or hazardous, 
situations","Health and Safety 2018, 403-5-a"
734,8.8,"health and safety impacts that are directly linked to its operations, products or services by its business, 
relationships, and the related hazards and risks.","Health and Safety 2018, 403-7-a"
735,8.8,"on legal requirements and/or recognized standards/guidelines:, 
i.  the number and percentage of all employees and workers who are not employees but whose, 
work and/or workplace is controlled by the organization, who are covered by such a system;, 
ii.   the number and percentage of all employees and workers who are not employees but whose, 
work and/or workplace is controlled by the organization, who are covered by such a system that, 
has been internally audited;, 
iii.  the number and percentage of all employees and workers who are not employees but whose, 
work and/or workplace is controlled by the organization, who are covered by such a system that, 
has been audited or certified by an external party., 
b.  Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
c.  Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.","Health and Safety 2018, 403-8"
736,8.8,"i.  The number and rate of fatalities as a result of work-related injury;, 
ii.   The number and rate of high-consequence work-related injuries (excluding fatalities);, 
iii.  The number and rate of recordable work-related injuries;, 
iv.   The main types of work-related injury;, 
v.   The number of hours worked., 
b.  For all workers who are not employees but whose work and/or workplace is controlled by the, 
organization:, 
i.  The number and rate of fatalities as a result of work-related injury;, 
ii.   The number and rate of high-consequence work-related injuries (excluding fatalities);, 
iii.   The number and rate of recordable work-related injuries;, 
iv.   The main types of work-related injury;, 
v.  The number of hours worked., 
c.  The work-related hazards that pose a risk of high-consequence injury, including:, 
i.   how these hazards have been determined;, 
ii.   which of these hazards have caused or contributed to high-consequence injuries during the, 
reporting period;, 
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of, 
controls., 
d.   Any actions taken or underway to eliminate other work-related hazards and minimize risks using the, 
hierarchy of controls., 
e.   Whether the rates have been calculated based on 200,000 or 1,000,000 hours worked., 
f.  Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
g.   Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.","Health and Safety 2018, 403-9"
737,8.8,the implementation of significant operational changes that could substantially affect them.,"Management Relations, 402-1"
738,8.8,"b.  Status of the incidents and actions taken with reference to the following:, 
i.   Incident reviewed by the organization;, 
ii.  Remediation plans being implemented;, 
iii.  Remediation plans that have been implemented, with results reviewed through routine internal, 
management review processes;, 
iv.  Incident no longer subject to action.","discrimination 2016, 406-1"
739,9.1,"b.  Current or expected impacts on communities and local economies, including positive and negative, 
impacts where relevant., 
c.   Whether these investments and services are commercial, in-kind, or pro bono engagements.","Economic Impacts 2016, 203-1"
740,9.1,"Stakeholder participation in decision making processes related to energy planning and infrastructure, 
development","G4 Sector Disclosure 2009, Former EU19"
741,9.1,"Number, type and impact of physical and technological legacies","G4 Sector Disclosure 2012, EO13"
742,9.1,"a.  Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic","GRI 201: Economic, 201-1"
743,9.1,a.  Extent of development of significant infrastructure investments and services supported.,"GRI 203: Indirect, 203-1"
744,9.1,"components for the organization’s global operations as listed below. If data are presented on a cash, 
basis, report the justification for this decision in addition to reporting the following basic components:, 
i.   Direct economic value generated: revenues;, 
ii.  Economic value distributed: operating costs, employee wages and benefits, payments to, 
providers of capital, payments to government by country, and community investments;, 
iii.  Economic value retained: ‘direct economic value generated’ less ‘economic value distributed’., 
b.  Where significant, report EVG&D separately at country, regional, or market levels, and the criteria, 
used for defining significance.","Performance 2016, 201-1"
745,9.3,"Percentage of the portfolio for business lines by specific region, size (e.g. micro/SME/large) and by, 
sector","G4 Sector Disclosure 2008, FS6"
746,9.3,"Monetary value of products and services designed to deliver a specific social benefit for each business, 
line broken down by purpose","G4 Sector Disclosure 2008, FS7"
747,9.4,"b.  Current or expected impacts on communities and local economies, including positive and negative, 
impacts where relevant., 
c.   Whether these investments and services are commercial, in-kind, or pro bono engagements.","Economic Impacts 2016, 203-1"
748,9.4,"Research and development activity and expenditure aimed at providing reliable electricity and promoting, 
sustainable development","G4 Sector Disclosure 2009, Former EU8"
749,9.4,Total amount invested in renewable energy,"G4 Sector Disclosure 2012, OG2"
750,9.4,"a.  Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic","GRI 201: Economic, 201-1"
751,9.4,a.  Extent of development of significant infrastructure investments and services supported.,"GRI 203: Indirect, 203-1"
752,9.4,"components for the organization’s global operations as listed below. If data are presented on a cash, 
basis, report the justification for this decision in addition to reporting the following basic components:, 
i.   Direct economic value generated: revenues;, 
ii.   Economic value distributed: operating costs, employee wages and benefits, payments to, 
providers of capital, payments to government by country, and community investments;, 
iii.   Economic value retained: ‘direct economic value generated’ less ‘economic value distributed’., 
b.  Where significant, report EVG&D separately at country, regional, or market levels, and the criteria, 
used for defining significance.","Performance 2016, 201-1"
753,9.5,"Number, type and impact of physical and technological legacies","G4 Sector Disclosure 2009, EU13"
754,9.5,"Research and development activity and expenditure aimed at providing reliable electricity and promoting, 
sustainable development","G4 Sector Disclosure 2009, Former EU8"
755,9.5,Programs and progress relating to materials stewardship,"G4 Sector Disclosure 2010, MM11"
756,9.5,Total amount invested in renewable energy,"G4 Sector Disclosure 2012, OG2"
757,9.5,"a.   Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic","GRI 201: Economic, 201-1"
758,9.5,"components for the organization’s global operations as listed below. If data are presented on a cash, 
basis, report the justification for this decision in addition to reporting the following basic components:, 
i.  Direct economic value generated: revenues;, 
ii.   Economic value distributed: operating costs, employee wages and benefits, payments to, 
providers of capital, payments to government by country, and community investments;, 
iii.   Economic value retained: ‘direct economic value generated’ less ‘economic value distributed’., 
b.   Where significant, report EVG&D separately at country, regional, or market levels, and the criteria, 
used for defining significance.","Performance 2016, 201-1"
759,9a,"Stakeholder participation in decision making processes related to energy planning and infrastructure, 
development","G4 Sector Disclosure 2009, Former EU19"
760,9a,"Number, type and impact of physical and technological legacies","G4 Sector Disclosure 2012, EO13"
